Problem Names,-2,-1,False,True,acc,strict acc
competition-expert,18,294,656,179,15.61,3.31
competition-question,29,238,572,191,18.54,4.13
interview-expert,26,69,52,75,33.78,32.03
interview-question,27,67,59,70,31.39,28.76
introductory-expert,147,4,3,1,0.65,0.62
introductory-question,148,5,2,1,0.64,0.62
