Problem Names,-1=>-2,False=>-2,False=>-1,True=>-2,True=>-1,True=>False
competition/2211,0,0,0,0,0,1
introductory/4000,0,0,0,0,0,0
interview/1352,0,0,0,0,0,0
introductory/4183,0,0,0,0,0,0
introductory/3011,0,0,0,0,0,0
introductory/4138,0,0,0,0,0,0
competition/2076,12,0,0,1,0,0
competition/2296,0,0,0,0,0,1
interview/1392,0,0,0,0,0,0
introductory/4051,0,0,0,0,0,0
competition/2272,0,0,0,0,1,2
competition/2293,0,0,0,0,0,0
competition/2022,0,0,0,0,0,0
introductory/3024,0,0,0,0,0,0
competition/2021,0,0,0,0,0,0
competition/2058,0,0,0,0,0,0
interview/1448,0,0,0,0,0,0
competition/2071,0,0,0,0,0,12
interview/1243,0,0,0,0,0,0
introductory/4040,0,0,0,0,0,0
interview/1312,0,0,0,0,0,0
interview/0367,0,0,0,0,0,0
competition/2213,0,0,0,0,1,3
introductory/4108,0,0,0,0,0,0
competition/2291,0,0,0,0,0,0
competition/2355,0,0,0,0,0,13
introductory/4064,0,0,0,0,0,0
introductory/3013,0,0,0,0,0,0
introductory/4101,0,0,0,0,0,0
competition/2201,0,0,0,0,0,0
competition/2115,0,0,0,0,0,0
competition/2024,0,0,0,0,0,0
interview/1474,0,0,0,0,0,0
competition/2009,0,0,0,0,0,0
introductory/3038,0,0,0,0,0,0
introductory/4003,0,0,0,0,0,0
interview/1502,0,0,0,0,0,0
interview/1852,0,0,0,0,0,0
competition/2035,0,0,0,0,0,1
introductory/4015,0,0,0,0,0,0
competition/2238,0,0,0,0,0,0
interview/1582,0,0,0,0,0,0
interview/0053,0,0,0,0,0,0
competition/2010,0,0,3,0,0,2
introductory/4102,0,0,0,0,0,0
competition/2074,0,0,0,0,0,1
interview/1990,0,0,0,0,0,0
competition/2075,0,0,0,0,0,0
interview/1446,0,0,0,0,0,0
competition/2062,0,0,0,0,0,0
competition/2187,0,0,0,0,0,0
interview/1049,0,0,0,0,0,0
introductory/4033,0,0,0,0,0,0
introductory/4072,0,0,0,0,0,0
competition/2233,0,0,0,0,0,0
interview/1147,0,1,0,0,0,0
competition/2148,0,0,0,0,0,2
introductory/3007,0,0,0,0,0,0
introductory/3026,0,0,0,0,0,0
introductory/3033,0,0,0,0,0,0
introductory/3030,0,0,0,0,0,0
introductory/3022,0,0,0,0,0,0
interview/0030,0,0,0,0,0,0
interview/1335,0,0,0,0,0,0
competition/2053,0,0,0,0,0,0
introductory/2372,0,0,0,0,0,0
interview/1112,0,0,0,0,0,0
introductory/2504,0,0,0,0,0,0
interview/1443,0,0,0,0,0,0
competition/2289,0,0,0,0,0,0
interview/1344,0,0,0,0,0,0
interview/0757,0,0,0,1,0,0
interview/1472,0,0,0,0,0,0
interview/1403,0,1,0,0,0,0
interview/0051,0,0,0,0,0,0
interview/1389,0,0,0,0,0,0
competition/2061,0,0,0,0,0,0
competition/2059,0,0,0,0,0,0
introductory/4174,0,0,0,0,0,0
introductory/4136,0,0,0,0,0,0
interview/0014,0,0,0,0,0,0
competition/2040,0,0,0,0,0,0
competition/2204,0,0,0,0,0,0
interview/0955,0,0,0,0,0,0
introductory/4024,0,0,0,0,0,0
introductory/3018,0,0,0,0,0,0
competition/2286,0,0,0,0,0,1
competition/2112,0,0,0,0,0,0
introductory/3034,0,0,0,0,0,0
introductory/4110,0,0,0,0,0,0
introductory/2618,0,0,0,0,0,0
introductory/4094,0,0,0,0,0,0
competition/2196,0,0,2,0,0,0
interview/1415,0,0,0,0,0,0
introductory/3019,0,0,0,0,0,0
interview/0050,0,0,0,0,0,0
introductory/2368,0,0,0,0,0,0
interview/0036,0,0,0,0,0,0
interview/1366,0,0,0,0,0,1
competition/2275,0,0,0,0,0,0
introductory/4083,0,0,0,0,0,0
interview/1534,0,0,0,0,0,0
interview/1109,0,0,0,0,0,0
interview/0023,0,0,0,0,0,0
introductory/4038,0,0,0,0,0,0
introductory/3004,0,0,0,0,0,0
interview/0443,0,0,0,0,0,0
introductory/2450,0,0,0,0,0,0
interview/1016,0,0,0,0,0,0
introductory/4170,0,0,0,0,0,0
competition/2271,0,3,0,1,0,0
introductory/4076,0,0,0,0,0,0
interview/0018,0,0,0,0,0,0
competition/2259,0,0,0,0,0,1
introductory/4053,0,0,0,0,0,0
competition/2031,0,0,0,0,0,7
introductory/4098,0,0,0,0,0,0
interview/1598,0,0,0,0,0,0
competition/2226,0,0,0,0,0,0
introductory/4013,0,0,0,0,0,0
introductory/4048,0,0,0,0,0,0
