Problem Names,-2,-1,False,True,acc,strict acc
competition-expert,0,109,151,42,13.91,0.00
competition-question,0,140,135,27,8.94,0.00
interview-expert,3,0,11,4,22.22,20.00
interview-question,2,0,10,6,33.33,30.00
