Problem Names,-2,-1,False,True,acc,strict acc
competition-expert,1,136,131,26,8.84,0.00
competition-question,0,92,184,26,8.61,0.00
interview-expert,4,3,8,3,16.67,15.00
interview-question,4,2,8,4,22.22,20.00
