Problem Names,-2=>-2,-1=>-1,False=>False,True=>True
interview/0493,0,0,0,0
interview/0018,0,0,1,0
competition/2202,0,0,5,0
introductory/3003,1,0,0,0
competition/2275,0,0,3,0
introductory/3033,1,0,0,0
introductory/4096,1,0,0,0
interview/1335,0,0,0,0
interview/0757,0,0,0,0
interview/1069,0,0,0,1
interview/1950,0,0,0,0
introductory/4018,1,0,0,0
interview/1125,1,0,0,0
introductory/3016,1,0,0,0
interview/0203,1,0,0,0
competition/2055,0,2,0,13
introductory/4069,1,0,0,0
competition/2039,0,0,10,6
competition/2013,0,0,18,0
interview/0033,0,0,0,0
introductory/4001,1,0,0,0
introductory/2569,0,0,0,0
introductory/4053,1,0,0,0
introductory/4035,1,0,0,0
competition/2022,0,0,9,0
interview/0030,0,0,1,0
introductory/4044,0,0,0,0
introductory/4007,1,0,0,0
competition/2044,0,0,0,0
competition/2017,0,0,14,0
interview/1944,0,0,0,0
introductory/4011,1,0,0,0
introductory/4029,1,0,0,0
introductory/4114,1,0,0,0
interview/0017,0,0,0,0
interview/0036,0,0,0,1
competition/2195,0,0,2,1
interview/0205,0,0,0,0
interview/1312,0,0,1,0
introductory/4047,1,0,0,0
introductory/3032,0,0,0,0
introductory/4042,1,0,0,0
competition/2355,0,17,13,0
introductory/4062,1,0,0,0
interview/1598,0,0,0,0
introductory/4083,1,0,0,0
competition/2236,0,0,5,0
competition/2226,0,0,4,1
introductory/4174,0,0,0,0
introductory/4138,1,0,0,0
interview/0028,0,0,0,0
competition/2309,0,0,2,0
competition/2151,0,0,2,8
interview/1156,0,0,0,1
interview/1349,0,0,0,1
interview/1053,0,0,1,0
interview/0048,0,0,1,0
competition/2237,0,0,3,0
introductory/4059,1,0,0,0
interview/1154,0,0,0,1
competition/2012,0,0,0,0
interview/1502,0,0,0,1
competition/2279,0,8,0,0
competition/2294,0,0,2,0
competition/2074,0,0,12,1
interview/1410,0,0,0,0
introductory/4164,1,0,0,0
interview/1059,0,0,0,1
introductory/4057,1,0,0,0
competition/2088,0,0,0,0
introductory/4101,1,0,0,0
competition/2164,0,0,7,0
competition/2171,0,0,7,1
interview/0008,0,0,0,0
interview/1489,0,0,1,0
interview/0083,0,0,0,0
competition/2077,0,0,7,0
introductory/3018,1,0,0,0
introductory/4072,1,0,0,0
interview/0012,1,0,0,0
introductory/4020,1,0,0,0
introductory/2618,1,0,0,0
competition/2255,0,0,2,0
interview/1959,0,0,0,0
competition/2169,0,0,0,9
introductory/3029,1,0,0,0
interview/0829,0,0,1,0
interview/0335,0,0,0,0
introductory/3039,1,0,0,0
introductory/4009,1,0,0,0
competition/2158,0,0,6,1
introductory/2372,0,0,1,0
introductory/4025,1,0,0,0
interview/0014,0,0,0,0
interview/0569,0,0,1,0
introductory/4078,1,0,0,0
interview/1401,0,0,0,1
competition/2306,0,3,0,0
introductory/3008,1,0,0,0
introductory/4052,1,0,0,0
interview/0050,0,0,1,0
interview/1799,1,0,0,0
competition/2024,0,0,17,0
interview/1908,0,0,0,0
competition/2258,0,0,3,1
interview/1366,0,0,1,0
competition/2272,0,0,0,1
interview/1924,0,0,0,0
interview/1606,0,62,4,27
interview/1990,0,0,0,0
competition/2053,0,0,9,1
competition/2344,0,0,0,0
interview/0160,1,0,0,0
introductory/4055,1,0,0,0
interview/1380,0,0,0,0
introductory/3010,1,0,0,0
interview/0024,0,0,1,0
interview/1693,0,0,0,0
introductory/4064,1,0,0,0
interview/0443,1,0,0,0
interview/1049,1,0,0,0
interview/0019,0,0,0,0
introductory/4112,1,0,0,0
introductory/4066,0,0,0,0
competition/2293,0,0,3,0
interview/1044,0,0,0,1
introductory/2367,0,0,0,1
competition/2204,0,0,6,1
introductory/3040,1,0,0,0
competition/2350,0,0,0,0
introductory/4014,1,0,0,0
interview/1861,0,0,0,0
competition/2040,0,0,16,0
competition/2187,0,0,7,1
interview/1056,0,0,0,1
introductory/3030,1,0,0,0
interview/1538,0,0,0,1
introductory/4117,1,0,0,0
interview/1236,0,0,0,1
introductory/4003,1,0,0,0
introductory/3020,1,0,0,0
introductory/3012,1,0,0,0
interview/0342,1,0,0,0
interview/0002,0,0,0,0
introductory/2451,1,0,0,0
interview/1087,0,0,1,0
introductory/4171,1,0,0,0
introductory/3011,1,0,0,0
competition/2009,0,0,11,0
interview/0051,0,0,0,1
interview/1491,0,0,1,0
interview/1356,0,0,0,1
interview/1732,1,0,0,0
interview/1546,0,0,0,1
competition/2356,0,0,0,0
introductory/2363,0,0,1,0
introductory/3021,1,0,0,0
introductory/4067,1,0,0,0
introductory/2533,1,0,0,0
competition/2005,0,0,9,10
interview/1458,0,0,1,0
interview/1948,0,0,0,0
interview/0029,0,0,1,0
interview/1369,0,0,0,0
introductory/4099,1,0,0,0
introductory/3038,1,0,0,0
interview/1372,0,0,0,0
introductory/4159,1,0,0,0
introductory/2368,0,0,0,0
introductory/4023,1,0,0,0
interview/1345,0,0,0,0
competition/2211,0,1,0,0
introductory/3022,1,0,0,0
introductory/3002,1,0,0,0
introductory/4081,1,0,0,0
introductory/3017,1,0,0,0
introductory/4172,1,0,0,0
competition/2263,0,0,0,0
competition/2357,0,0,4,0
introductory/3433,0,0,0,0
interview/0027,0,0,1,0
interview/0702,0,0,0,0
interview/1231,0,0,0,1
introductory/2607,0,1,0,0
competition/2059,0,0,14,1
competition/2011,0,4,9,2
competition/2342,1,0,0,0
interview/1867,0,0,0,0
introductory/4039,1,0,0,0
interview/0015,0,0,1,0
introductory/2479,1,0,0,0
interview/1934,0,0,0,0
introductory/3940,1,0,0,0
introductory/4038,1,0,0,0
interview/0007,0,0,1,0
interview/1313,0,0,0,1
competition/2343,0,0,1,0
interview/1392,0,0,0,0
interview/1926,0,0,0,0
interview/1742,1,0,0,0
interview/1540,0,0,1,0
competition/2198,0,0,6,1
introductory/4098,1,0,0,0
interview/1952,0,0,0,0
introductory/4049,1,0,0,0
interview/0023,0,0,1,0
interview/1112,0,0,1,0
interview/1389,0,0,1,0
interview/0053,0,1,0,0
introductory/4087,1,0,0,0
interview/0351,1,0,0,0
introductory/4153,1,0,0,0
introductory/4016,1,0,0,0
competition/2262,0,0,0,0
interview/1591,0,0,0,1
competition/2248,0,0,3,0
interview/0031,0,0,1,0
competition/2001,0,0,0,0
competition/2212,0,0,1,4
competition/2296,0,0,2,0
competition/2091,0,0,10,1
competition/2286,0,0,2,0
introductory/4168,1,0,0,0
introductory/3025,1,0,0,0
competition/2071,0,0,0,14
introductory/3005,1,0,0,0
interview/1852,0,0,0,0
interview/1409,0,0,0,1
introductory/4073,1,0,0,0
introductory/2361,0,1,0,0
introductory/3004,1,0,0,0
interview/1131,0,0,0,0
competition/2360,0,0,0,0
introductory/4170,0,0,0,0
competition/2349,0,0,1,0
competition/2265,0,0,0,0
competition/2021,0,0,18,0
introductory/4109,1,0,0,0
competition/2057,0,0,13,0
introductory/4030,1,0,0,0
competition/2291,0,0,1,0
introductory/2510,1,0,0,0
competition/2210,0,0,0,0
competition/2143,0,0,7,2
introductory/4115,1,0,0,0
introductory/3037,1,0,0,0
introductory/3028,1,0,0,0
competition/2076,0,0,10,0
introductory/4040,1,0,0,0
interview/0990,0,1,0,0
competition/2085,1,0,0,0
interview/1468,0,0,0,1
introductory/3024,1,0,0,0
introductory/4008,1,0,0,0
introductory/4051,1,0,0,0
introductory/4000,1,0,0,0
introductory/4004,1,0,0,0
interview/1442,0,0,1,0
introductory/3034,1,0,0,0
interview/1859,0,0,0,0
introductory/4113,1,0,0,0
competition/2046,0,16,0,0
competition/2197,0,0,7,0
interview/1411,0,0,0,0
interview/1593,0,0,0,1
introductory/3001,1,0,0,0
competition/2004,0,0,12,0
introductory/4041,1,0,0,0
competition/2029,0,0,10,1
introductory/2366,0,0,1,0
introductory/4033,1,0,0,0
interview/1582,0,0,1,0
competition/2213,0,2,0,3
interview/1462,0,0,0,1
competition/2201,0,0,6,1
competition/2209,0,0,4,0
introductory/4094,1,0,0,0
interview/0004,0,0,0,0
competition/2240,0,0,5,0
introductory/2434,1,0,0,0
introductory/4183,1,0,0,0
competition/2359,0,0,0,0
interview/1879,0,0,0,0
interview/1290,0,0,0,1
introductory/2504,1,0,0,0
competition/2311,0,0,2,0
introductory/3015,1,0,0,0
introductory/4028,1,0,0,0
introductory/2392,0,1,0,0
introductory/4005,1,0,0,0
introductory/4071,1,0,0,0
interview/0118,0,0,1,0
interview/1415,0,0,0,1
competition/2031,1,0,0,0
interview/1477,0,0,1,0
competition/2041,0,0,12,4
interview/1404,0,0,1,0
introductory/3006,1,0,0,0
interview/0026,0,0,0,1
introductory/4015,1,0,0,0
competition/2174,0,0,2,2
interview/1587,0,0,1,0
introductory/4070,1,0,0,0
interview/1982,0,0,0,0
introductory/3026,1,0,0,0
interview/1016,0,0,0,1
interview/1379,0,0,0,0
interview/0000,0,0,1,0
competition/2010,0,0,10,3
introductory/4095,1,0,0,0
competition/2282,0,0,2,1
competition/2172,0,2,7,0
introductory/4165,1,0,0,0
interview/1147,0,0,0,0
competition/2330,0,0,3,0
introductory/4079,1,0,0,0
competition/2034,0,0,11,0
introductory/4136,1,0,0,0
interview/0013,0,0,1,0
interview/1344,0,0,0,1
competition/2314,0,0,2,0
competition/2196,0,0,6,1
competition/2233,0,0,0,0
introductory/4019,1,0,0,0
introductory/3036,1,0,0,0
