Problem Names,-2=>-2,-1=>-1,False=>False,True=>True
interview/1534,0,0,1,0
introductory/4010,1,0,0,0
competition/2190,0,0,4,2
interview/1472,0,0,0,0
introductory/4006,1,0,0,0
interview/1377,0,0,0,0
competition/2191,0,0,0,2
competition/2073,0,0,4,3
interview/1403,0,0,0,0
introductory/2399,1,0,0,0
introductory/4036,1,0,0,0
interview/1580,0,0,1,0
competition/2251,0,0,1,0
introductory/3019,1,0,0,0
introductory/4135,1,0,0,0
introductory/2450,1,0,0,0
introductory/2508,1,0,0,0
competition/2149,0,0,10,0
competition/2259,0,0,3,1
interview/0005,0,0,1,0
competition/2312,0,0,1,1
introductory/3023,1,0,0,0
interview/0010,0,0,0,0
competition/2035,0,0,17,0
introductory/4021,1,0,0,0
interview/1448,0,0,0,0
competition/2289,1,0,0,0
introductory/4024,1,0,0,0
introductory/3013,1,0,0,0
introductory/2537,1,0,0,0
competition/2032,0,0,14,3
introductory/3031,1,0,0,0
interview/1398,0,0,0,0
competition/2063,0,0,8,0
interview/0358,1,0,0,0
introductory/4158,1,0,0,0
interview/1922,0,0,0,0
interview/1352,0,0,0,1
interview/1871,0,0,0,0
competition/2069,0,14,0,0
competition/2061,1,0,0,0
introductory/4048,1,0,0,0
competition/2345,0,0,1,0
interview/0123,0,0,0,0
interview/1416,0,0,1,0
competition/2075,0,0,4,4
introductory/3009,1,0,0,0
competition/2000,0,0,0,0
introductory/4045,1,0,0,0
interview/0022,0,0,0,0
competition/2271,0,0,0,0
interview/0003,0,0,1,0
competition/2096,0,0,11,0
introductory/4090,1,0,0,0
introductory/4108,1,0,0,0
competition/2200,0,0,0,7
interview/1310,0,0,1,0
introductory/4074,1,0,0,0
introductory/3014,1,0,0,0
competition/2346,0,0,1,0
introductory/4013,1,0,0,0
interview/1430,0,0,0,0
interview/1109,0,0,0,1
introductory/4110,1,0,0,0
introductory/3035,1,0,0,0
competition/2030,0,0,17,0
competition/2285,0,0,0,0
introductory/4126,1,0,0,0
interview/1933,0,0,0,0
introductory/4063,1,0,0,0
interview/0367,1,0,0,0
competition/2033,1,0,0,0
interview/1375,0,0,0,1
interview/1063,0,0,0,1
interview/1243,0,0,0,1
introductory/4076,1,0,0,0
introductory/4022,1,0,0,0
introductory/4148,1,0,0,0
interview/1181,0,0,0,1
interview/1875,0,0,0,0
introductory/4034,1,0,0,0
interview/1218,0,0,0,0
interview/1578,0,0,0,1
introductory/3027,0,0,0,0
introductory/4120,1,0,0,0
introductory/4080,1,0,0,0
competition/2238,0,0,5,0
introductory/4102,1,0,0,0
competition/2056,0,0,3,7
interview/1357,0,0,1,0
interview/1446,0,0,0,0
competition/2308,0,1,0,0
competition/2270,0,0,4,0
competition/2276,0,0,1,2
competition/2148,0,0,1,6
competition/2112,0,0,0,0
introductory/4137,1,0,0,0
introductory/3007,1,0,0,0
interview/1443,0,1,0,0
interview/1892,0,0,0,0
introductory/4122,1,0,0,0
competition/2062,0,0,15,0
competition/2115,0,0,5,6
competition/2353,0,36,2,2
interview/1239,0,0,1,0
interview/1474,0,0,1,0
interview/0032,0,0,1,0
interview/0098,0,0,1,0
interview/0955,0,0,0,0
competition/2058,0,0,11,2
