Problem Names,-2,-1,False,True,acc,strict acc
competition-question,14,178,714,237,20.73,4.13
competition-summary,9,200,767,230,19.07,3.31
interview-question,20,67,68,67,30.18,26.14
interview-summary,20,74,55,71,32.27,28.76
introductory-question,147,4,3,1,0.65,0.62
introductory-summary,149,3,4,1,0.64,0.62
