Problem Names,-2,-1,False,True,acc,strict acc
competition-expert,0,0,39,5,11.36,0.00
competition-question,0,0,30,14,31.82,0.00
interview-expert,0,0,2,2,50.00,40.00
interview-question,1,0,1,2,50.00,40.00
